"Action","Aksi"
"An error occurred while creating the backup.","An error occurred while creating the backup."
"An error occurred while writing to the backup file ""%s"".","Eror terjadi pada saat menulis backup file ""%s""."
"Are you sure you want to delete the selected backup(s)?","Are you sure you want to delete the selected backup(s)?"
"Backup Type","Backup Type"
"Backup file ""%s"" cannot be read from or written to.","Backup file ""%s"" tidak dapat dibaca atau ditulis ke."
"Backup file ""%s"" does not exist.","Backup file ""%s"" tidak ada."
"Backup file does not exist.","Backup file tidak ada."
"Backup file handler was unspecified.","Pegangan Backup file tidak dispesifikasikan."
"Backup file not found","Backup file not found"
"Backup file path was not specified.","Jalur Backup file tidak dispesifikasikan."
"Backups","backup"
"Cannot read backup file.","Tidak dapat membuat backup file."
"Create Backup","Buat backup"
"DB","DB"
"Database","Database"
"Database Backup","Database Backup"
"Database and Media","Database and Media"
"Database and Media Backup","Database and Media Backup"
"Database was successfuly backed up.","Database telah berhasil dibuat backup."
"Download","Unduh"
"Enable Scheduled Backup","Enable Scheduled Backup"
"Failed to connect to FTP","Failed to connect to FTP"
"Failed to delete one or several backups.","Failed to delete one or several backups."
"Failed to rollback","Failed to rollback"
"Failed to validate FTP","Failed to validate FTP"
"Frequency","Frequency"
"Invalid Password.","Invalid Password."
"Maintenance Mode","Maintenance Mode"
"Name","Name"
"Not enough free space to create backup.","Not enough free space to create backup."
"Not enough permissions to create backup.","Not enough permissions to create backup."
"Not enough permissions to perform rollback","Not enough permissions to perform rollback"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback."""
"Put store on the maintenance mode while backup's creation","Put store on the maintenance mode while backup's creation"
"Rollback","Rollback"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Size, Bytes","Ukuran, Bytes"
"Start Time","Start Time"
"System","Sistem"
"System (excluding Media)","Sistem (excluding Media)"
"System Backup","Sistem Backup"
"System couldn't put store on the maintenance mode","Sistem couldn't put store on the maintenance mode"
"The database and media backup has been created.","The database and media backup has been created."
"The database backup has been created.","The database backup has been created."
"The file was compressed with Zlib, but this extension is not installed on server.","File telah dikompresi dengan Zlib, tapi untuk ekstensi ini tidak diinstal pada server."
"The selected backup(s) has been deleted.","The selected backup(s) telah dihapus."
"The system (excluding Media) backup has been created.","The system (excluding Media) backup has been created."
"The system backup has been created.","The system backup has been created."
"Time","Waktu"
"Type","Tipe"
"Unable to create backup. Please, try again later.","Tidak dapat membuat backup. Tolong, coba lagi nanti."
"Unable to save the cron expression.","Unable to save the cron expression."
"Wrong order of creation for new backup.","Pesanan salah dari pembuatan untuk backup baru."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","You do not have sufficient permissions to enable Maintenance Mode during this operation."
