"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" tidak tersedia dalam kuantitas yang diminta. %s dari barang akan di order cadangkan."
%s is available for purchase in increments of %s only.,%stersedia untuk pembelian dengan penambahan sebesar %s saja.
%s is not a correct comparsion method.,Bukan metode perbandingan yang benar.
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<Kuat>Catatan</Kuat> bahwa pengaturan ini berlaku untuk item baris keranjang, tidak seluruh keranjang."
Add Minimum Qty,Tambahkan kuantitas minimum
Allow Qty Below 0,Ijinkan kuantitas dibawah 0
Allow Qty Below 0 and Notify Customer,Ijinkan kuantitas dibawah 0 dan notifikasi pelanggan
Automatically Return Credit Memo Item to Stock,Otomatis Mengembalikan Barang Kredit Memo Ke Stok
Order sisa,Backorders
By Fixed value,Oleh nilai tetap
By Percentage,Oleh Persentasi
Cannot specify product identifier for the order item.,Tidak bisa menentukan produk pengenal terhadap barang pesanan.
Catalog Inventory,Inventori Katalog
Decrease Stock When Order is Placed,Kurangin Stok Saat Dilakukan Pembelian
In Stock,Dalam Stok
Inventory,Inventori
Inventory API,Inventori API
Inventory Section,Bagian Inventori
Manage Stock,Kelola Stok
Maximum Qty Allowed in Shopping Cart,Maksimum Kuantitas yang Diperbolehkan dalam Keranjang Belanja
Minimum Qty Allowed in Shopping Cart,Minimum Kuantitas yang Diperbolehkan dalam Keranjang Belanja
No Backorders,Tidak ada Pemesanan
Notify for Quantity Below,Beritahu untuk Kuantitas Dibawah
Out of Stock,Habis
Product Stock Options,Produk dari opsi stok
Qty for Items' Status to become Out of Stock,Kuantitas untk status barang -barang yang akan habis
Retrieve stock data,Menerima data stok
Retrieve stock data by product ids,Menerima stok data oleh ID produk
Rule price,Aturan harga
Set Items' Status to be In Stock When Order is Cancelled,Set Produk Status menjadi dalam Ketika Order Dibatalkan
Some of the products are currently out of stock,Beberapa produk saat ini habis
Some of the products can not be ordered in requested quantity,Beberapa produk tidak dapat di pesan dalam jumlah yang di minta
Some of the products cannot be ordered in the requested quantity,Beberapa produk tidak dapat di pesan dalam jumlah yang di minta
Stock Options,Pilihan Stok
Stock item for Product in option is not valid,Stok barang untuk Produk dalam opsi tidak valid
Stock item for Product is not valid,Stok barang untuk Produk tidak valid
The maximum quantity allowed for purchase is %s.,umlah maksimum yang diizinkan adalah% untuk pembelian s.
The minimum quantity allowed for purchase is %s.,umlah�minimum yang diizinkan�adalah%�untuk pembelian�s.
"The requested quantity for ""%s"" is not available.","Kuantitas sebanyak""%s"" yang diminta tidak tersedia."
The requested quantity is not available.,Kuantitas yang diminta tidak tersedia.
This product is currently out of stock.,Produk tersebut saat ini kosong
To Fixed Value,Ke Nilai Tetap
To Percentage,Ke Persentasi
Update,Perbarui
Update product stock data,Perbarui data stok produk
Update the Product,Perbarui produk
