 in rows: ,Dalam baris: 
-- Please Select --,Silakan pilih
Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract,Adapter harus merupakan contoh Mage_ImportExport_Model_Import_Adapter_Abstract
Adapter type must be a non empty string,Jenis Adapter harus serangkaian yang tidak kosong
Can not determine attribute filter type,Tidak bisa menentukan jenis atribut filter
Can not find required columns: ,Tidak bisa menemukan kolom yang di minta:
Can not get autoincrement value,Tidak bisa mendapatkan nilai auto increment
Check Data,Cek data
Column names has duplicates,Nama kolom telah di duplikasi
Column names is empty or is not an array,Nama kolom kosong atau tidak ada di susunan
"Column names: ""%s"" are invalid","Nama kolom: ""%s"" tidak valid"
Continue,Lanjutkan
Data is invalid or file is not uploaded,Data tidak valid atau berkas tidak di unggah
Destination directory is not writable,Direktori yang di tuju tidak dapat di tulis
Destination file is not writable,Berkas yang di tuju tidak dapat di tulis
Destination file path must be a string,Jalur berkas tujuan harus sebuah rangkaian
Entity Attributes,Atribut entitas
Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract,Entitas objek adaptor harus menjadi contoh Mage_ImportExport_Model_Import_Entity_Abstract
Entity is unknown,Entitas tidak di ketahui
Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract,Jenis model entitas harus sebuah contoh dari Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract
Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract,Jenis model entitas harus sebuah contoh dari Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract
Error in data structure: behaviors are mixed,Galat pada struktur data: Perilaku yang di campur
Error in data structure: entity codes are mixed,Galat pada Struktur data: kode entitas di campur
Export,Ekspor
Export FAQ,Ekspor FAQ
FAQ,FAQ
File does not contain data. Please upload another one,Berkas tidak mengandung data. Silakan unggah berkas yang lain
File format is unknown,Format berkas tidak di ketahui
"File is partially valid, but import is not possible","Berkas ini sebagian valid, tetapi impor tidaklah mungkin"
File is totally invalid. Please fix errors and re-upload file,Berkas ini benar-benar valid. Silahkan memperbaiki kesalahan dan Unggah ulang berkas.
"File is valid! To start import process press ""Import"" button","Berkas ini valid! Untuk memulai proses impor tekan tombol ""Impor"""
"File is valid, but import is not possible","Berkas ini valid, tetapi impor tidaklah mungkin"
Header column names already set,Nama kolom header telah di atur
Import,Impor
Import / Export FAQ (Frequently Asked Questions),Impor / Ekspor FAQ (Frequently Asked Questions)
Import FAQ,Impor FAQ
Import successfully done.,Impor berhasil di lakukan.
Import/Export,Impor/Ekspor
In/Out,masuk/keluar
Input entity code is not equal to entity adapter code,Memasukan kode entitas tidak sama dengan entitas kode adaptor
Invalid entity,Entitas Tidak valid
Invalid file format,Format berkas tidak valid
Invalid parameters,Parameter tidak valid
Invalid seek position,Posisi pencarian tidak valid
Invalid value for '%s',Nilai tidak valid untuk '%s'
No filter data provided,Tidak ada Data filtr  tersedia
No source specified,Tidak ada sumber di tentukan
No valid data sent,Tidak ada data yang valid dikirim
No writer specified,Tidak ada penulis di tentukan
Node does not has model token tag,Simpul tidak memiliki tag Model Token
Not implemented yet,Belum diimplementasikan
Please fix errors and re-upload file,Silakan perbaiki galat dan unggah kembali berkas
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Silahkan memperbaiki kesalahan dan mengunggah ulang berkas  atau hanya tekan ""Impor"" tombol untuk melewatkan baris dengan kesalahan"
Some other FAQ,Beberapa FAQ yang lain
Source file moving failed,Pemindahan berkas sumber gagal
Source file path must be a string,Sumber jalur berkas harus sebuah rangkaian
Source is not set,Sumber tidak di atur
Status,Status
System busy,Sistem sibuk
There are no product types available for export,Tidak ada jenis produk yang tersedia untuk di ekspor
Total size of uploadable files must not exceed %s,Ukuran total berkas diunggah tidak boleh melebihi %s
Uploaded file has no extension,Berkas yang diunggah tidak memiliki ekstensi
Validation Results,Hasil validasi
