" Copy"," Copy"
"Action","Action"
"Add New Template","Add New Template"
"Add to Queue","Add to Queue"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Back","Back"
"Cancel","Cancel"
"Cancelled","Cancelled"
"Cannot delete subscriber","Cannot delete subscriber"
"Cannot delete template","Cannot delete template"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Cannot save your subscription: %s","Cannot save your subscription: %s"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Confirmation request has been sent","Confirmation request has been sent"
"Convert to Plain Text","Convert to Plain Text"
"Create Newsletter Template","Create Newsletter Template"
"Customer","Pelanggan"
"Customer Firstname","Nama depan Pelanggan"
"Customer Lastname","Nama belakang Pelanggan"
"Date Added","Date Added"
"Date Updated","Date Updated"
"Delete Selected Problems","Delete Selected Problems"
"Delete Template","Delete Template"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Duplicate of template code","Duplicate of template code"
"Edit Newsletter","Edit Newsletter"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Template","Edit Template"
"Email","Email"
"Enter your email address","Enter your email address"
"Error Code","Error Code"
"Error Text","Error Text"
"Form was filled incorrectly","Form was filled incorrectly"
"Guest","Guest"
"ID","ID"
"Invalid queue selected","Invalid queue selected"
"Invalid subscriber ID","Invalid subscriber ID"
"Invalid subscription ID","Invalid subscription ID"
"Invalid subscription confirmation code","Invalid subscription confirmation code"
"Message","Message"
"Need to Confirm","Need to Confirm"
"New Newsletter Template","New Newsletter Template"
"New Template","New Template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletter Message Preview"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Langganan Newsletter"
"Newsletter Templates","Newsletter Templates"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Newsletter subscription success","Newsletter subscription success"
"Newsletter unsubscription success","Newsletter unsubscription success"
"No Templates Found","No Templates Found"
"No problems found","No problems found"
"No subscribers selected","No subscribers selected"
"Not Sent","Not Sent"
"Not activated","Not activated"
"Pause","Pause"
"Paused","Paused"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Please enter new template name"
"Please select subscriber(s)","Please select subscriber(s)"
"Preview","Preview"
"Preview Template","Preview Template"
"Processed","Processed"
"Queue Date Start","Queue Date Start"
"Queue Finish","Queue Finish"
"Queue Information","Queue Information"
"Queue Newsletter","Queue Newsletter"
"Queue Start","Queue Start"
"Queue Subject","Queue Subject"
"Recipients","Recipients"
"Reset","Reset"
"Resume","Resume"
"Return Html Version","Return Html Version"
"Save And Resume","Save And Resume"
"Save As","Save As"
"Save Newsletter","Save Newsletter"
"Save Template","Save Template"
"Selected problem subscribers successfully unsubscribed","Selected problem subscribers successfully unsubscribed"
"Selected problems successfully deleted","Selected problems successfully deleted"
"Sender","Sender"
"Sender Email","Email Pengirim"
"Sender Name","Nama Pengirim"
"Sending","Mengirim"
"Sending Options","Pilihan Pengiriman"
"Sent","Terkirim"
"Set Return-Path","Set Return-Path"
"Sign me up","Berlangganan"
"Sign up for our newsletter:","Berlangganan newsletter kami:"
"Start","Mulai"
"Status","Status"
"Store","Store"
"Store View","Store View"
"Subject","Subyek"
"Subscribe","Berlangganan"
"Subscribed","Berlangganan"
"Subscriber","Pelanggan"
"Subscribers","Pelanggan"
"Subscribers From","Pelanggan Dari"
"Subscription Options","Pilihan Langganan"
"Success Email Sender","Pengirim Email Sukses"
"Success Email Template","Template Email Sukses"
"Template Content","Isi Template"
"Template Information","Informasi Template"
"Template Name","Nama Template"
"Template Subject","Subyek Template"
"Template Type","Jenis Template"
"Thank you for your subscription","Terima kasih telah berlangganan"
"The subscription was successfully saved","The subscription was successfully saved"
"There was a problem with the subscription","There was a problem with the subscription"
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the un-subscription.","There was a problem with the un-subscription."
"There was an error while saving your subscription","There was an error while saving your subscription"
"Toggle Editor","Toggle Editor"
"Type","Jenis"
"Unsubscribe","Henti Langganan"
"Unsubscribe Selected","Henti Langganan Terpilih"
"Unsubscribed","Tak Berlangganan"
"Unsubscription Email Sender","Pengirim Email Berhenti"
"Unsubscription Email Template","Template Email Berhenti"
"View Newsletter","Lihat Newsletter"
"Website","Website"
"You have been successfully unsubscribed.","You have been successfully unsubscribed."
"Your subscription was successfully confirmed","Your subscription was successfully confirmed"
