AUTHENTICATE,OTENTIKASI
An error has occurred,Galat terjadi
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">here</a> Untuk melanjutkan belanja."
Customer was redirected to Protx,Pelanggan di arahkan ke Protx
DEFERRED,TANGGUHAN
Debug,Debug
Enabled,Aktif
General contact email will be used if left empty.,Email kontak umum akan di gunakan jika di biarkan kosong.
Live,Tinggal
Mode,Mode
New Order Status,Status pesanan baru
Order total amount does not match protx gross total amount,Pesanan jumlah total tidak cocok dengan protx jumlah bruto
PAYMENT,PEMBAYARAN
Payment Action,Aksi pembayaran
Payment from Applicable Countries,Pembayaran dari negara terkait
Payment from Specific Countries,Pembayaran dari negara tertentu
Protx Standard,Standar Protx
Simulator,Simulator
Sort Order,Urutan pesanan
Store name will be used if left empty.,Nama toko akan di gunakan jika di biarkan kosong
Test,Tes
The customer has returned from Protx.,Pelanggan telah kembali dari Protx.
The order %s was canceled by the customer.,Pesan %s telah di batalkan oleh pelanggan.
Title,Judul
Transaction Description,Deskripsi transaksi
Vendor Email,Vendor Email
Vendor Email Notification,Notifikasi Vendor Email
Vendor Encrypted Password,Kata sandi enkripsi Vendor
Vendor Name,Nama Vendor
You will be redirected to protx in a few seconds.,Anda akan di arahkan ke  protx dalam beberapa detik.
You will be redirected to the Protx website when you place an order.,Anda akan diarahkan ke situs Protx saat Anda memesan.
