Action,"Aksi"
Add Sitemap,"Tambah Sitemap"
Always,"Selalu"
CMS Pages Options,"Opsi Halaman CMS"
Categories Options,"Opsi Kategori"
Daily,"Harian"
Edit Sitemap,"Ubah Sitemap"
Enabled,"Aktif"
Error Email Recipient,"Error Penerima Email"
Error Email Sender,"Error Pengirim Email"
Error Email Template,"Error template Email"
"File "%s" cannot be saved. Please, make sure the directory "%s" is writeable by web server.","file "%s" Tidak dapat disimpan. Silakan, Pastikan direktori "%s" dapat ditulis oleh web server."
Filename,"Nama file"
Frequency,"Frekuensi"
Generate,"Menghasilkan"
Generation Settings,"Pengaturan Umum"
Google Sitemap,"Sitemap Google"
Google Sitemap Section,"Bagian sitemap Google"
Hourly,"Per jam"
ID,"ID"
Last Time Generated,"Digenerate Terakhir Pada"
Link for Google,"Tautan untuk Google"
Monthly,"Bulanan"
Never,"Tidak Pernah"
New Sitemap,"Sitemap Baru"
Path,"Jalur"
"Please create the specified folder "%s" before saving the sitemap.","Silahkan membuat folder "%s" yang ditentukan sebelum menyimpan sitemap."
Please define correct path,"Silakan tentukan jalur yang benar"
"Please make sure that "%s" is writable by web-server.","Pastikan bahwa "%s" ditulis oleh web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Silakan gunakan hanya huruf (a-z atau A-Z), angka (0-9) atau garis bawah (_) dalam nama file. Tidak ada spasi atau karakter lain yang diperbolehkan."
Priority,"Prioritas"
Priority must be between 0 and 1,"Prioritas harus diantara 0 dan 1"
Products Options,"Opsi Produk"
Sitemap,"Sitemap"
"Sitemap "%s" has been successfully generated","Sitemap "%s" telah berhasil dibuat"
Sitemap generate Warnings,"Peringatan Menggenerate Sitemap"
Sitemap was successfully deleted,"Sitemap berhasil dihapus"
Sitemap was successfully saved,"sitemap berhasi disimpan"
Start Time,"Waktu Mulai"
Store View,"Tampilan toko"
This sitemap no longer exists,"Sitemap ini sudah tidak ada"
Unable to find a sitemap to delete,"Tidak menemukan sitemap untuk dihapus"
Unable to find a sitemap to generate,"Tidak dapat menumukan sitemap untuk dibuat"
Unable to generate a sitemap,"tidak dapat membuat sebuah sitemap"
Valid values range from 0.0 to 1.0,"Berlaku nilai berkisar dari  0.0 ke 1.0"
Weekly,"Mingguan"
Yearly,"Tahunan"
